id,race_id,driver,lap_number,arrival_ms,start_ms,finish_ms,wait_ms,response_ms,urgency_score,is_urgent,resource,data_source,service_ms,burst_reason
2022_Abu_Dhabi_Grand_Prix|ALB|1|fast,2022_Abu_Dhabi_Grand_Prix,ALB,1,0.319,0.319,1.084,0.000,0.765,0.500,1,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|ALB|1|smart,2022_Abu_Dhabi_Grand_Prix,ALB,1,0.319,0.319,157.219,0.000,156.900,0.500,1,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|ALO|1|fast,2022_Abu_Dhabi_Grand_Prix,ALO,1,0.471,1.084,1.850,0.613,1.379,0.500,1,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|ALO|1|smart,2022_Abu_Dhabi_Grand_Prix,ALO,1,0.471,0.471,157.371,0.000,156.900,0.500,1,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|BOT|1|fast,2022_Abu_Dhabi_Grand_Prix,BOT,1,0.641,1.850,2.615,1.209,1.974,0.150,0,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|BOT|1|smart,2022_Abu_Dhabi_Grand_Prix,BOT,1,0.641,0.641,157.541,0.000,156.900,0.150,0,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|GAS|1|fast,2022_Abu_Dhabi_Grand_Prix,GAS,1,1.136,2.615,3.380,1.479,2.244,0.500,1,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|GAS|1|smart,2022_Abu_Dhabi_Grand_Prix,GAS,1,1.136,157.219,314.119,156.083,312.983,0.500,1,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|HAM|1|fast,2022_Abu_Dhabi_Grand_Prix,HAM,1,1.854,3.380,4.145,1.526,2.291,0.500,1,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|HAM|1|smart,2022_Abu_Dhabi_Grand_Prix,HAM,1,1.854,157.371,314.271,155.517,312.417,0.500,1,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|LAT|1|fast,2022_Abu_Dhabi_Grand_Prix,LAT,1,2.194,4.145,4.911,1.951,2.716,0.500,1,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|LAT|1|smart,2022_Abu_Dhabi_Grand_Prix,LAT,1,2.194,157.541,314.441,155.346,312.246,0.500,1,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|LEC|1|fast,2022_Abu_Dhabi_Grand_Prix,LEC,1,2.217,4.911,5.676,2.694,3.459,0.500,1,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|LEC|1|smart,2022_Abu_Dhabi_Grand_Prix,LEC,1,2.217,314.119,471.019,311.902,468.802,0.500,1,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|MAG|1|fast,2022_Abu_Dhabi_Grand_Prix,MAG,1,2.252,5.676,6.441,3.424,4.189,0.500,1,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|MAG|1|smart,2022_Abu_Dhabi_Grand_Prix,MAG,1,2.252,314.271,471.171,312.019,468.919,0.500,1,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|MSC|1|fast,2022_Abu_Dhabi_Grand_Prix,MSC,1,2.773,6.441,7.206,3.668,4.433,0.500,1,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|MSC|1|smart,2022_Abu_Dhabi_Grand_Prix,MSC,1,2.773,314.441,471.341,311.668,468.568,0.500,1,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|NOR|1|fast,2022_Abu_Dhabi_Grand_Prix,NOR,1,3.158,7.206,7.972,4.048,4.813,0.500,1,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|NOR|1|smart,2022_Abu_Dhabi_Grand_Prix,NOR,1,3.158,471.019,627.919,467.861,624.761,0.500,1,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|OCO|1|fast,2022_Abu_Dhabi_Grand_Prix,OCO,1,3.219,7.972,8.737,4.752,5.518,0.500,1,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|OCO|1|smart,2022_Abu_Dhabi_Grand_Prix,OCO,1,3.219,471.171,628.071,467.952,624.852,0.500,1,smart_cloud,cassandra,156.900,overtake
2022_Abu_Dhabi_Grand_Prix|PER|1|fast,2022_Abu_Dhabi_Grand_Prix,PER,1,3.487,8.737,9.502,5.250,6.015,0.400,0,fast_local,redis_cache,0.765,overtake
2022_Abu_Dhabi_Grand_Prix|PER|1|smart,2022_Abu_Dhabi_Grand_Prix,PER,1,3.487,471.341,628.241,467.854,624.754,0.400,0,smart_cloud,cassandra,156.900,overtake
