id,race_id,driver,lap_number,arrival_ms,start_ms,finish_ms,wait_ms,response_ms,urgency_score,is_urgent,resource,data_source,service_ms,burst_reason
2022_Monaco_Grand_Prix|ALB|1|fast,2022_Monaco_Grand_Prix,ALB,1,0.319,0.319,1.084,0.000,0.765,0.450,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|ALB|1|smart,2022_Monaco_Grand_Prix,ALB,1,0.319,0.319,157.219,0.000,156.900,0.450,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|ALO|1|fast,2022_Monaco_Grand_Prix,ALO,1,0.471,1.850,2.615,1.379,2.144,0.450,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|ALO|1|smart,2022_Monaco_Grand_Prix,ALO,1,0.471,941.719,1098.619,941.248,1098.148,0.450,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|BOT|1|fast,2022_Monaco_Grand_Prix,BOT,1,0.641,1.084,1.850,0.444,1.209,0.500,1,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|BOT|1|smart,2022_Monaco_Grand_Prix,BOT,1,0.641,157.219,314.119,156.579,313.479,0.500,1,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|GAS|1|fast,2022_Monaco_Grand_Prix,GAS,1,1.136,8.737,9.502,7.601,8.366,0.350,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|GAS|1|smart,2022_Monaco_Grand_Prix,GAS,1,1.136,1726.219,1883.119,1725.083,1881.983,0.350,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|HAM|1|fast,2022_Monaco_Grand_Prix,HAM,1,1.854,2.615,3.380,0.761,1.526,0.500,1,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|HAM|1|smart,2022_Monaco_Grand_Prix,HAM,1,1.854,314.119,471.019,312.265,469.165,0.500,1,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|LAT|1|fast,2022_Monaco_Grand_Prix,LAT,1,2.194,13.328,14.094,11.134,11.899,0.300,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|LAT|1|smart,2022_Monaco_Grand_Prix,LAT,1,2.194,2667.619,2824.519,2665.425,2822.325,0.300,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|LEC|1|fast,2022_Monaco_Grand_Prix,LEC,1,2.217,3.380,4.145,1.163,1.928,0.450,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|LEC|1|smart,2022_Monaco_Grand_Prix,LEC,1,2.217,1098.619,1255.519,1096.402,1253.302,0.450,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|MAG|1|fast,2022_Monaco_Grand_Prix,MAG,1,2.252,9.502,10.267,7.250,8.015,0.350,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|MAG|1|smart,2022_Monaco_Grand_Prix,MAG,1,2.252,1883.119,2040.019,1880.867,2037.767,0.350,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|MSC|1|fast,2022_Monaco_Grand_Prix,MSC,1,2.773,10.267,11.033,7.494,8.260,0.350,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|MSC|1|smart,2022_Monaco_Grand_Prix,MSC,1,2.773,2040.019,2196.919,2037.246,2194.146,0.350,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|NOR|1|fast,2022_Monaco_Grand_Prix,NOR,1,3.158,6.441,7.206,3.283,4.048,0.450,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|NOR|1|smart,2022_Monaco_Grand_Prix,NOR,1,3.158,1255.519,1412.419,1252.361,1409.261,0.450,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|OCO|1|fast,2022_Monaco_Grand_Prix,OCO,1,3.219,7.206,7.972,3.987,4.752,0.450,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|OCO|1|smart,2022_Monaco_Grand_Prix,OCO,1,3.219,1412.419,1569.319,1409.200,1566.100,0.450,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|PER|1|fast,2022_Monaco_Grand_Prix,PER,1,3.487,4.145,4.911,0.659,1.424,0.500,1,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|PER|1|smart,2022_Monaco_Grand_Prix,PER,1,3.487,471.019,627.919,467.532,624.432,0.500,1,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|RIC|1|fast,2022_Monaco_Grand_Prix,RIC,1,3.806,7.972,8.737,4.166,4.931,0.450,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|RIC|1|smart,2022_Monaco_Grand_Prix,RIC,1,3.806,1569.319,1726.219,1565.513,1722.413,0.450,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|RUS|1|fast,2022_Monaco_Grand_Prix,RUS,1,3.870,11.033,11.798,7.163,7.928,0.350,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|RUS|1|smart,2022_Monaco_Grand_Prix,RUS,1,3.870,2196.919,2353.819,2193.049,2349.949,0.350,0,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|SAI|1|fast,2022_Monaco_Grand_Prix,SAI,1,3.930,4.911,5.676,0.980,1.746,0.500,1,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|SAI|1|smart,2022_Monaco_Grand_Prix,SAI,1,3.930,627.919,784.819,623.989,780.889,0.500,1,smart_cloud,cassandra,156.900,caution
2022_Monaco_Grand_Prix|STR|1|fast,2022_Monaco_Grand_Prix,STR,1,4.114,14.094,14.859,9.980,10.745,0.300,0,fast_local,redis_cache,0.765,caution
2022_Monaco_Grand_Prix|STR|1|smart,2022_Monaco_Grand_Prix,STR,1,4.114,2824.519,2981.419,2820.405,2977.305,0.300,0,smart_cloud,cassandra,156.900,caution
